Machine	Instruction	Count	Cost
Normal	Ret	2	2.0000
Normal	BrUncond	0	0.0000
Normal	BrCond	0	0.0000
Normal	Switch	0	0.0000
Normal	Malloc	3	150.0000
Normal	Free	2	100.0000
Normal	Load	3	70.0000
Normal	Store	5	110.0000
Normal	BinaryOp	5	25.0000
Normal	Sum	0	0.0000
Normal	UnaryOp	0	0.0000
Normal	Select	0	0.0000
Normal	Call	1	3.0000
Normal	Read	0	0.0000
Normal	Write	0	0.0000
Oracle	Ret	0	0.0000
Oracle	BrUncond	0	0.0000
Oracle	BrCond	0	0.0000
Oracle	Switch	0	0.0000
Oracle	Malloc	0	0.0000
Oracle	Free	0	0.0000
Oracle	Load	0	0.0000
Oracle	Store	0	0.0000
Oracle	BinaryOp	0	0.0000
Oracle	Sum	0	0.0000
Oracle	UnaryOp	0	0.0000
Oracle	Select	0	0.0000
Oracle	Call	0	0.0000
Oracle	Read	0	0.0000
Oracle	Write	0	0.0000
